"Brain.ID","Ammon's horn_RG_GFAP","Anterior group of the dorsal thalamus_RG_GFAP","Basic cell groups and regions_RG_GFAP","Basolateral amygdalar nucleus_RG_GFAP","Basomedial amygdalar nucleus_RG_GFAP","Brain stem_RG_GFAP","Caudoputamen_RG_GFAP","Cerebellar cortex_RG_GFAP","Cerebellar nuclei_RG_GFAP","Cerebellum_RG_GFAP","Cerebral cortex_RG_GFAP","Cerebral nuclei_RG_GFAP","Cerebrum_RG_GFAP","Claustrum_RG_GFAP","Cortex_RG_GFAP","Cortical plate_RG_GFAP","Cortical subplate_RG_GFAP","Dentate gyrus_RG_GFAP","Dentate gyrus, granule cell layer_RG_GFAP","Dentate gyrus, molecular layer_RG_GFAP","Dentate gyrus, polymorph layer_RG_GFAP","Endopiriform nucleus_RG_GFAP","Entorhinal area_RG_GFAP","Epithalamus_RG_GFAP","Fasciola cinerea_RG_GFAP","fiber tracts_RG_GFAP","Fundus of striatum_RG_GFAP","Geniculate group, dorsal thalamus_RG_GFAP","Geniculate group, ventral thalamus_RG_GFAP","Hindbrain_RG_GFAP","Hippo_RG_GFAP","Hippocampal formation_RG_GFAP","Hippocampal region_RG_GFAP","Hypothalamus_RG_GFAP","Induseum griseum_RG_GFAP","Interbrain_RG_GFAP","Intralaminar nuclei of the dorsal thalamus_RG_GFAP","Isocortex_RG_GFAP","Lateral amygdalar nucleus_RG_GFAP","Lateral group of the dorsal thalamus_RG_GFAP","Lateral septal complex_RG_GFAP","Medial group of the dorsal thalamus_RG_GFAP","Medulla_RG_GFAP","Medulla, behavioral state related_RG_GFAP","Medulla, motor related_RG_GFAP","Medulla, sensory related_RG_GFAP","Mid_Hind_Medulla_RG_GFAP","Midbrain_RG_GFAP","Midbrain, behavioral state related_RG_GFAP","Midbrain, motor related_RG_GFAP","Midbrain, sensory related_RG_GFAP","Midline group of the dorsal thalamus_RG_GFAP","Nucleus accumbens_RG_GFAP","Olfactory areas_RG_GFAP","Olfactory tubercle_RG_GFAP","Pallidum_RG_GFAP","Parasubiculum_RG_GFAP","Peripeduncular nucleus_RG_GFAP","Pons_RG_GFAP","Pons, behavioral state related_RG_GFAP","Pons, motor related_RG_GFAP","Pons, sensory related_RG_GFAP","Posterior amygdalar nucleus_RG_GFAP","Postsubiculum_RG_GFAP","Presubiculum_RG_GFAP","Reticular nucleus of the thalamus_RG_GFAP","Retrohippocampal region_RG_GFAP","root_RG_GFAP","Striatum_RG_GFAP","Striatum-like amygdalar nuclei_RG_GFAP","Striatum dorsal region_RG_GFAP","Striatum ventral region_RG_GFAP","Striatum_Pallidum_RG_GFAP","Subiculum_RG_GFAP","Subparafascicular area_RG_GFAP","Subparafascicular nucleus_RG_GFAP","Thalamus_RG_GFAP","Thalamus, polymodal association cortex related_RG_GFAP","Thalamus, sensory-motor cortex related_RG_GFAP","Ventral group of the dorsal thalamus_RG_GFAP","ventricular systems_RG_GFAP","Ammon's horn_NL_GFAP","Anterior group of the dorsal thalamus_NL_GFAP","Basic cell groups and regions_NL_GFAP","Basolateral amygdalar nucleus_NL_GFAP","Basomedial amygdalar nucleus_NL_GFAP","Brain stem_NL_GFAP","Caudoputamen_NL_GFAP","Cerebellar cortex_NL_GFAP","Cerebellar nuclei_NL_GFAP","Cerebellum_NL_GFAP","Cerebral cortex_NL_GFAP","Cerebral nuclei_NL_GFAP","Cerebrum_NL_GFAP","Claustrum_NL_GFAP","Cortex_NL_GFAP","Cortical plate_NL_GFAP","Cortical subplate_NL_GFAP","Dentate gyrus_NL_GFAP","Dentate gyrus, granule cell layer_NL_GFAP","Dentate gyrus, molecular layer_NL_GFAP","Dentate gyrus, polymorph layer_NL_GFAP","Endopiriform nucleus_NL_GFAP","Entorhinal area_NL_GFAP","Epithalamus_NL_GFAP","Fasciola cinerea_NL_GFAP","fiber tracts_NL_GFAP","Fundus of striatum_NL_GFAP","Geniculate group, dorsal thalamus_NL_GFAP","Geniculate group, ventral thalamus_NL_GFAP","Hindbrain_NL_GFAP","Hippo_NL_GFAP","Hippocampal formation_NL_GFAP","Hippocampal region_NL_GFAP","Hypothalamus_NL_GFAP","Induseum griseum_NL_GFAP","Interbrain_NL_GFAP","Intralaminar nuclei of the dorsal thalamus_NL_GFAP","Isocortex_NL_GFAP","Lateral amygdalar nucleus_NL_GFAP","Lateral group of the dorsal thalamus_NL_GFAP","Lateral septal complex_NL_GFAP","Medial group of the dorsal thalamus_NL_GFAP","Medulla_NL_GFAP","Medulla, behavioral state related_NL_GFAP","Medulla, motor related_NL_GFAP","Medulla, sensory related_NL_GFAP","Mid_Hind_Medulla_NL_GFAP","Midbrain_NL_GFAP","Midbrain, behavioral state related_NL_GFAP","Midbrain, motor related_NL_GFAP","Midbrain, sensory related_NL_GFAP","Midline group of the dorsal thalamus_NL_GFAP","Nucleus accumbens_NL_GFAP","Olfactory areas_NL_GFAP","Olfactory tubercle_NL_GFAP","Pallidum_NL_GFAP","Parasubiculum_NL_GFAP","Peripeduncular nucleus_NL_GFAP","Pons_NL_GFAP","Pons, behavioral state related_NL_GFAP","Pons, motor related_NL_GFAP","Pons, sensory related_NL_GFAP","Posterior amygdalar nucleus_NL_GFAP","Postsubiculum_NL_GFAP","Presubiculum_NL_GFAP","Reticular nucleus of the thalamus_NL_GFAP","Retrohippocampal region_NL_GFAP","root_NL_GFAP","Striatum_NL_GFAP","Striatum-like amygdalar nuclei_NL_GFAP","Striatum dorsal region_NL_GFAP","Striatum ventral region_NL_GFAP","Striatum_Pallidum_NL_GFAP","Subiculum_NL_GFAP","Subparafascicular area_NL_GFAP","Subparafascicular nucleus_NL_GFAP","Thalamus_NL_GFAP","Thalamus, polymodal association cortex related_NL_GFAP","Thalamus, sensory-motor cortex related_NL_GFAP","Ventral group of the dorsal thalamus_NL_GFAP","ventricular systems_NL_GFAP"
"1-03-14-16_03",0.468960900767881,0.271915846339582,0,0.475321174174442,0.291099110609796,0,0.337859915503252,0,0,0,0,0,0,0.428725479505168,0.215314530239833,0,0.365591141381884,0,0.336814512989541,0.392056300745756,0.546564031452388,0.398832102668573,0.251051799122244,0.227240265061934,0.415434205536595,0.375946234721534,0.445855808827794,0.330822323013212,0.501323904284187,0,0.390037677305596,0.400938667805332,0,0.0879450727908597,0.277325250994507,0,0.305998721352396,0.2044458999127,0.155513033302685,0.303848606804337,0.308389160597781,0.181687980750533,0,0,0,0,0.216637828933943,0.217269870083141,0.101999321521979,0.238029334030807,0.168312839297614,0.181774946470743,0.334899720602999,0.179420183778804,0.152176008004229,0.251449186234061,0.243757106197837,0,0.214294524244682,0.146481317870982,0.147875753743989,0.392797386530427,0.281801406109408,0.530785834711604,0.262781776526478,0.359308297984794,0,0.00201207243460765,0.295913129934344,0.238927293071934,0,0,0.29507438377659,0.584455897302537,0.00174939864421605,0.170151428920956,0.30015542496411,0,0,0.425989570126576,0.324984484467872,0.465367167219835,0.240182040001679,0,0.501733468013076,0.211331795015563,0,0.329963784817795,0,0,0,0,0,0,0.456919925287703,0.220369819249929,0,0.350778509940973,0,0.291398174281572,0.370152121067215,0.588031524996842,0.387479713259423,0.267585146395694,0.299700829955607,0.332890777128695,0.392128459232149,0.426496649216793,0.354246021473565,0.496984505664654,0,0.386153791928886,0.415963584350935,0,0.0813967970528355,0.23693605972087,0,0.317998614810543,0.210469903991599,0.127255695421844,0.317831118495735,0.311214381918681,0.202384710831785,0,0,0,0,0.234587658754179,0.214029021002741,0.0804004413857188,0.24629910862342,0.141648922290588,0.150106815184325,0.335546676965646,0.193060951272447,0.151795098909797,0.258604532846945,0.203181431289068,0,0.319472874719853,0.20844788682035,0.457360874261468,0.3208008103438,0.261257763975155,0.48982286781112,0.262336621435767,0.423699781999377,0,0,0.288820096893525,0.176952656289675,0,0,0.287418886998219,0.544030462342169,0.00657894736842105,0.109827124506215,0.292596333806562,0,0,0.372336605646542,0.244703957508358
"1-03-28-16_10",0.421385417707818,0.176108331895808,0,0.453557477588792,0.412713019165089,0,0.36504643657879,0,0,0,0,0,0,0.35404176323271,0.233534648664506,0,0.377312167056508,0,0.308054615096416,0.312378063655254,0.50052461309784,0.39503549827998,0.227068709201011,0.0371140410187063,0.00512570173297535,0.384288238131419,0.467818604489782,0.426935056906445,0.504077662972679,0,0.387570004016485,0.269978798555095,0,0.0682023995837995,0,0,0.178117203871869,0.223329467484872,0.242435145794089,0.277820220452846,0.311475443784532,0.0877443056804225,0,0,0,0,0.235543755669826,0.22284853094387,0.196768732563999,0.250533681814158,0.0625941547607579,0.0795381140685583,0.352010416881375,0.183804006895655,0.181662926661417,0.22548679275656,0.44020729441674,0.390619561434041,0.362022704787667,0.254459276587353,0.48563844163535,0,0.283432382284132,0.324085400581421,0.449226976218604,0.365634754293013,0,0,0.27592240026795,0.281351002661379,0,0,0.310698598568854,0.560863751569931,0.00146319347127195,0.0863779282469539,0.236901324473686,0,0,0.357796177211688,0.154443958475074,0.420516897966113,0.180446794900075,0,0.501235002764501,0.37257032213077,0,0.35800570506969,0,0,0,0,0,0,0.413955852030117,0.242345882154523,0,0.374769404270345,0,0.257014496372101,0.311941442201211,0.594671313196075,0.396423676124096,0.238795967586456,0.0163830719878858,0.000976324139614352,0.395634821604041,0.35524065288559,0.441963424073414,0.513409436536064,0,0.382845986694549,0.242967149341976,0,0.0590275116482216,0.00661204542187725,0,0.216337606201754,0.232610196862414,0.128597145679526,0.265780142444068,0.34970817796834,0.0665267835102444,0,0,0,0,0.236419228405887,0.218261601100663,0.171632346676703,0.237842882962608,0.102246910531215,0.0593408781653447,0.341037068334791,0.201627093818525,0.203562640562892,0.226295991873822,0.356939356939357,0.280491960214827,0.426948568819638,0.238092593299708,0.642930899349343,0,0.247373595592464,0.261104355746247,0.34215878379486,0.355535345472469,0,0,0.287823691931881,0.201477950495274,0,0,0.301835579325934,0.564313696945264,0.00852717675039155,0.120790388611163,0.231431166510105,0,0,0.32706809150766,0.10409077216588
"1-03-28-16_18",0.431005813827693,0.195670922525072,0,0.439138504096481,0.211183874413636,0,0.276124623077578,0,0,0,0,0,0,0.198146272230378,0.206656308691237,0,0.308544343181842,0,0.239797324892792,0.272732034908695,0.525179660093321,0.279477590367312,0.142074551080274,0.0292589429489729,0,0.352828166132451,0.380600189492817,0.326839378238342,0,0,0.346606965447425,0.302380838348845,0,0.0699421188967863,0,0,0.0230660653423761,0.20164284947107,0.401793431287813,0.207087895347556,0.290745217288565,0.0404210582839844,0,0,0,0,0.199986486829475,0.2075901347737,0.022992641426217,0.229147169091007,0.149738065330684,0,0.347167012738102,0.173912172321659,0.144676440576462,0.208778766855238,0.331226325555147,0.376374697100639,0.164747249821831,0.142098267384115,0.12434644764677,0.398215424596623,0.367990207329202,0.259816628362188,0.12783487121179,0.478336401124381,0,0,0.266562168584783,0.234668189303139,0,0,0.255492846990901,0.554707402799933,0,0.2301213883151,0.226952900069645,0,0,0.370911166301953,0.118540430802021,0.428485155382423,0.177115308186827,0,0.464588150865162,0.229533140624319,0,0.268414320595302,0,0,0,0,0,0,0.239545387547114,0.205296310137164,0,0.316269665909295,0,0.237287567285942,0.284115384475689,0.507304437470231,0.276404835334536,0.163711971838756,0.0337578484455629,0,0.355827371067886,0.371256020929607,0.3252724458572,0,0,0.363466754443804,0.351552196883569,0,0.0648490813494893,0.0259232086084617,0,0.0204981531949036,0.199828823811934,0.263396715643907,0.18664891009271,0.300174567898774,0.0374679131257146,0,0,0,0,0.224176300804411,0.212461417920184,0.18891251607319,0.232563954010778,0.106789257263628,0,0.346647910837674,0.171623279037926,0.148760017955404,0.201857744388249,0.413264325122774,0.26941331246149,0.299593716718299,0.292958136768542,0.447562147797735,0.380948979154463,0.328710890337714,0.302379503454863,0.203687603549811,0.488247340203231,0,0,0.237260901728329,0.211668224141705,0,0,0.24861320552496,0.56404554312321,0,0.229255573102207,0.22329487409784,0,0,0.363936244330381,0.107835623282133
"1-04-26-15_06",0.261763568469038,0.0816053054746865,0,0.210280745963441,0.119874416416344,0,0.0672122742550935,0.0520832928638196,0,0,0,0,0,0.0628054641009386,0.0872360285132135,0,0.126980395041748,0,0.238204545068821,0.214772907127147,0.229706841032408,0.0632029249308157,0.0546576221512856,0.059043590574844,0,0.229117405693437,0.117171111777045,0.203795138789561,0.214992820017537,0,0.211958900929776,0.109908390478699,0,0.0429828068087067,0.0146051654426933,0,0.0600487841794885,0.0840086520186156,0.032969478858404,0.146977329974811,0.201720780010302,0.00746555313243458,0.0757633359764509,0,0,0.0757633359764509,0.0848451819585971,0.0901648623356763,0.0700050484409933,0.0887589557140893,0.0691613500513213,0.0794984924801813,0.0891004836287235,0.0462239577489693,0.00986455950894833,0.0651852226351344,0.207781815567793,0.448931753927638,0.0781816672466052,0.0305547477288404,0.109132947292862,0.0508095450777564,0.61754594737538,0.268000088820793,0.201907497814825,0.319939333795195,0,0,0.0941509876260695,0.0656118575945632,0,0,0.0720269322751596,0.463470390321567,0.0348641466909668,0.0779719376775415,0.147988127055567,0,0,0.221444915265369,0.174398059250236,0.26394110903445,0.053787220785106,0,0.228734803161046,0.130439994916957,0,0.0613899221227885,0.0416027158040764,0,0,0,0,0,0.093853082694862,0.0844921674054507,0,0.127748457237796,0,0.166441276540764,0.237945107117792,0.31147294136543,0.0737016013901669,0.0653369407834064,0.13675577803813,0.0444789356984479,0.228706647076532,0.0655813191985756,0.232542832495485,0.277785758125808,0,0.212417659774997,0.128828191435665,0,0.044686960186942,0.0182338968841693,0,0.0721800009934407,0.0808763961349107,0.0315899705106413,0.149948745162801,0.183041841857919,0.00732139243068205,0.0648352032435077,0,0,0.0648352032435077,0.0812397540146788,0.0818937956391471,0.0230863181371638,0.085339302323713,0.0484255138163142,0.0865513014163438,0.0788439892102589,0.046339516189006,0.0084392699307437,0.0753502988115434,0.170552739282302,0.36380781009395,0.0808283562392476,0.0341481833534651,0.126301040775895,0.0403024946518651,0.589499959739109,0.272080721126666,0.238367823652998,0.290123345079253,0,0,0.11232351937369,0.0506306933130116,0,0,0.0700639502159089,0.454391266995546,0.0391380006836332,0.0854126133506275,0.146178801109548,0,0,0.194837021939046,0.184544676492193
"1-04-26-15_17",0.130318626778655,0.036780698884929,0,0.020516629145682,0.0217636986831553,0,0.0136883906984016,0.00080607526197446,0,0,0,0,0,0.00476342382577007,0.00540053765885409,0,0.0191274401104131,0,0.119973739137975,0.153407025763942,0.159811336552148,0.0176507959475744,0.0068276198012825,0.0635970313640018,0.00131790052716021,0.101283399485166,0.0315659991678877,0.0634518841038279,0.121826042406321,0,0.0841475858716394,0.0389072130306755,0,0.02579967614956,0.00714924039320822,0,0.00295146654738322,0.00429814937575807,0.0111095075117177,0.0207129418804978,0.0344440062336548,0.00341983191972517,0,0,0,0,0.0180106359661498,0.0216130755386816,0.00965473786713637,0.0173213567017022,0.027389822600405,0.0101730168136554,0.00581208012150876,0.0126835226074753,0.00369600934375751,0.0578107100110129,0.0261838597682131,0.278834106346031,0.00462423341454034,0.00126763668430335,0.00730767405124424,0.000497643417622356,0.030841049973215,0.138122813672188,0.177871254371869,0.173721018330955,0,0,0.0252159498277868,0.0127335160319533,0,0,0.0222073994083241,0.0755410960638916,0,0.00539669360943567,0.0429811192499988,0,0,0.0295092891931085,0.136812248799087,0.129816320397472,0.0138164031130967,0,0.0221912948787931,0.0194462857707008,0,0.0133329884095295,0.00564300564300564,0,0,0,0,0,0.00799531782787928,0.00661111490825047,0,0.0174838974798273,0,0.0997159932161413,0.157167345422391,0.225202617294966,0.0154693363152437,0.00784184507400026,0.210674622907343,0.0232256092902437,0.121789926456333,0.0221760509730591,0.0702264077625519,0.115908396363359,0,0.0821416037823262,0.0431633017549941,0,0.0179983469533422,0.00317744017475921,0,0.00199932302831998,0.00568679283114279,0.00900251058567842,0.0202992448056131,0.0472841160722607,0.000439365472568949,0,0,0,0,0.0166883143519018,0.0161544164703741,0.0121821912687939,0.0146303832562486,0.013121334486299,0.00262145262145262,0.0059664178697402,0.0122800910666125,0.0037964508112505,0.0600297988880374,0.0393438658140147,0.161299540588662,0.0187309051073009,0.00218220706399214,0.0228168102154145,0.00144767842016095,0.024202768785729,0.13837081375887,0.236572945493663,0.0973398980497225,0,0,0.0371555458977876,0.0271166754318843,0,0,0.0253531396092662,0.0785883718200312,0,0.003849991528136,0.0345024211908822,0,0,0.0165358017150764,0.14818307148775
"1-06-24-15_06",0.218290365035817,0.0774061111532827,0,0.244595659424229,0.103435528076997,0,0.0485304137640351,0,0,0,0,0,0,0.161238642601866,0.0716989063710749,0,0.131763496729019,0,0.141845002484476,0.170430964173985,0.163027906055202,0.0869265649908553,0.112475338882332,0.0323238173737734,0.18382872110238,0.14679905217101,0.0751792646500812,0.134198190911325,0.243716608799615,0,0.188323152798219,0.245132487466626,0,0.0208200834545449,0.0147473433094773,0,0.0108658918345606,0.0671520364237174,0.0223878873271969,0.0948665670697448,0.11056745037839,0.00199747704288538,0,0,0,0,0.0502105371563187,0.0509163345105346,0.0106853343529394,0.0498208339141468,0.0460982225758901,0.0202296742035753,0.0959812939387449,0.0557240813356166,0.0115942246615661,0.0611401211645703,0.0829656692127107,0.0724750927915608,0.0472872352367034,0.0278864362615303,0.0561027164476916,0.0772965624393086,0.15475481718784,0.096760279674432,0.0519066749810031,0.255817901292783,0,0,0.0650311318330968,0.0299766474276752,0,0,0.0550119232510213,0.328156605421926,0.0043653949140715,0.04327931725192,0.0841341369979553,0,0,0.128388051441839,0.115546444217611,0.214867093140335,0.0665359899686417,0,0.251754738015608,0.100526649091465,0,0.0484148983609098,0,0,0,0,0,0,0.113291911038848,0.0636560580810851,0,0.123874300345276,0,0.107976568089901,0.176724179938157,0.230275157642399,0.0812061586509464,0.115353790578335,0.0663870981202145,0.19077748213949,0.160579274561856,0.032955959321755,0.130564127309023,0.218169870215213,0,0.190352325484647,0.246223696059868,0,0.0220479241280386,0.12225405921681,0,0.00969789311496131,0.0591313565934438,0.0184067746485281,0.063679721814382,0.10284010339178,0.00190563448240902,0,0,0,0,0.0566952433589038,0.0559434146435733,0.00780180369941299,0.0583984214032356,0.0320999772805387,0.00483462495788181,0.091836574019921,0.0482323143782119,0.00897890534008581,0.0627427816995194,0.0992682593234248,0.158439955835552,0.0605157368012825,0.0571750372262739,0.112785422793143,0.00204545550396228,0.151815836475491,0.130981396226725,0.059086277791929,0.262068493284684,0,0,0.0725121946924472,0.0367207775042353,0,0,0.0559250239115601,0.335462829108348,0.00761579110972956,0.0347252283165285,0.0795100454544582,0,0,0.136726622438653,0.100546341004578
"1-06-24-15_08",0.18254987657243,0.0841300318827746,0,0.135792493442317,0.0270405711894442,0,0.0590038594056272,0.0314237810283296,0,0,0,0,0,0.0749052650802267,0.0938803031901784,0,0.0776142856575977,0,0.183743553580683,0.189224958172181,0.209542283367021,0.0782583886013032,0.0436964410733339,0.068300232394962,0.0562986624076662,0.173853335280137,0.0299325348592655,0.22397695891723,0.231828420952441,0,0.153482594895621,0.0638855005130666,0,0.030792673510302,0.0169854628921194,0,0.0370810460038234,0.0950569615892878,0.0292946188465128,0.157607582916209,0.178842940612994,0.0215762665217277,0.000556309362279512,0,0,0.000556309362279512,0.0686123652615908,0.0732591453245722,0.0345139985477011,0.0716556985630904,0.0904322556617853,0.0101309935398559,0.152191872503294,0.0385997422450492,0.0242708106307647,0.113660415109804,0.247172452919969,0.195437372856728,0.0588973651028398,0.141748347463949,0.0492340878512317,0.0459810806247293,0.0151923303674276,0.349026799722045,0.239251985437099,0.245682613238835,0,0,0.106655808496161,0.0208692697536708,0,0,0.0770959038272458,0.373705123529561,0,0.0786797470173926,0.121561282912557,0,0,0.150689072101145,0.122520967721073,0.191635085039289,0.0625669579413029,0,0.138242627502347,0.0304779772111095,0,0.0514699268059258,0.0316177086288542,0,0,0,0,0,0.0792002829951456,0.084659379698069,0,0.0777561140185009,0,0.109097677657618,0.195677430767211,0.314402248423362,0.0677410848551222,0.0455597819374452,0.0914265945401937,0.107209760315097,0.176244447465507,0.0351075372701735,0.225931946414024,0.281354103873854,0,0.160384357864568,0.0739930027045877,0,0.030828527169775,0.0192807957153787,0,0.0372342079430016,0.0851743532969256,0.0199811783685679,0.150970904824041,0.148374287928072,0.00875475810161236,0.00067009722731468,0,0,0.00067009722731468,0.0642637729294919,0.0661291654748034,0.0530698052926638,0.0699846225722888,0.0400195011689621,0.00897022626391621,0.153041554621344,0.0361752748093891,0.014916346579997,0.107330289446286,0.16617334472278,0.221082710984888,0.0610793095784116,0.0893700084892857,0.0790059286204263,0.0420108744860862,0.0200220702569847,0.240294262104848,0.165903503055538,0.247086407468959,0,0,0.0989760070674296,0.0210489900578558,0,0,0.0706409437871254,0.383764306306697,0,0.0932829410754166,0.121396329366547,0,0,0.139030658660844,0.128325131743061
"1-06-24-15_13",0.231930406487434,0.0463897209074625,0,0.28353328126774,0.0912941694223211,0,0.0977376107512311,0,0,0,0,0,0,0.164946942159623,0.124862711681807,0,0.160262041377577,0,0.184520011701935,0.184638275158592,0.1891665303715,0.122099696010919,0.173101768483507,0.0173856014074993,0.053946621237933,0.204152480719837,0.0971089752932062,0.180850765913355,0.188789662404438,0,0.208111717978403,0.175934344127064,0,0.020487174699453,0.123312130342596,0,0.0827144610342181,0.122497874524772,0.119580871296355,0.111313857293797,0.149207280695623,0.0177745866894537,0.000131694468832309,0,0,0.000131694468832309,0.0810017797871343,0.0759085052032016,0.0310462222039372,0.0826727347815666,0.0765111933887485,0.00517436148747363,0.186763589739811,0.0718618835498852,0.0229821691554149,0.0932306471850694,0.0466011216181336,0,0.102169372300014,0.133258292086152,0,0.0762403001734874,0.0637546021350206,0.17776198866064,0.158168185116504,0.167223357348682,0,0,0.12473744060926,0.057819510653342,0,0,0.100395155765996,0.365574519093556,0,0.183109236114244,0.12656938295695,0,0,0.236205236896719,0.171414726954797,0.239322538663491,0.0386670874417946,0,0.282852170954932,0.0969899577167019,0,0.0963298305230341,0,0,0,0,0,0,0.150935581551602,0.116283545067971,0,0.166032550977939,0,0.136841862063588,0.218714806870384,0.207879044559966,0.13147010430661,0.161544317067114,0.0494261014156935,0.151254430946072,0.196219119753671,0.100193595353712,0.195750184905353,0.167922331427006,0,0.210345754342377,0.154522223282107,0,0.020843035514567,0.134360004463788,0,0.0858207491665032,0.112858372977066,0.130290741479413,0.130457269830432,0.160105518146939,0.0227761365001384,0.0170243998496268,0,0,0.0170243998496268,0.0985263181240788,0.0889262668092139,0.0679696524598392,0.0943992439878463,0.0824138070409442,0.0123275589865314,0.175496751925908,0.062951365377248,0.0281588228529077,0.0945074803011711,0.0797410008779631,0,0.143409940695371,0.220098845469449,0.00315703045745558,0.126343756637096,0.0799051332556176,0.196216521089618,0.199574428494683,0.183452711809821,0,0,0.131086142322097,0.0553031207566172,0,0,0.101092928597082,0.362151631553417,0,0.205108314101197,0.136317391944179,0,0,0.232651338971618,0.171499313324502
"1-09-23-15_04",0.11270118656015,0.0100225992430904,0,0.00957747714906774,0.0154768121461164,0,0.0222807719108793,0,0,0,0,0,0,0.00216482393384744,0.0117815243818012,0,0.014718908120864,0,0.165687131198148,0.143158571756619,0.169906218714032,0.0093056208735166,0.00938739375896617,0.00567798234106219,0.144701169424999,0.0990683832023918,0.0242630907503861,0.0532816950030206,0.0299971248762099,0,0.0929234296370174,0.0619590613065363,0,0.00891898651675925,0,0,0.000753715215709293,0.0115571749213751,0.00363405070606076,0.00392678289612665,0.102902317359352,0.0010633111586253,0,0,0,0,0.0224496398463444,0.0204639581032719,0.0118179532310787,0.017734547682436,0.00624525298346738,0.00399630274032188,0.00411542603093617,0.0135091077933794,0.00543188511905752,0.0452830489928788,0,0.274970641962422,0.0352206727510014,0.0370588929540895,0.00700064687702149,0.0690240234450314,0.0224179234496652,0.178282162810577,0.133834855059521,0.161031952760972,0,0,0.0500051733057424,0.0176463190980997,0,0,0.0302675217514067,0.0469854731840734,0,0.0109937288213557,0.0295281501639152,0,0,0.0239781790951203,0.108795130043529,0.101518392694227,0.0105881674607792,0,0.0114722073221225,0.0115614419035522,0,0.0157928008627633,0,0,0,0,0,0,0.00418013505051702,0.00488596055253026,0,0.0144145167957702,0,0.134403833900089,0.180750451974577,0.211526466502226,0.00932472942354163,0.00908208507662048,0.107497444994491,0.0460521218069582,0.120831911334703,0.018896509366363,0.0718239854592781,0.297057983433305,0,0.0897193527278936,0.0752682612991429,0,0.00878198513507771,0.00912254302642716,0,0.00134128901819616,0.00409354256041712,0.00428176522203823,0.0134169628601459,0.0997592449783624,0.000327692529271003,0,0,0,0,0.0274472528022736,0.0219238284993161,0.0058241711593157,0.0181298682526089,0.0080813554776813,0.00519685890764594,0.00311697760080195,0.0135824603338177,0.00485139315920041,0.0474866020258163,0,0.176383611301016,0.0585689030491825,0.0341183728130625,0.00696091411845531,0.284173341393381,0.015383611691023,0.165793041824898,0.14146073859811,0.101380562437355,0,0,0.0645040387459352,0.0288227717157105,0,0,0.0295964673278519,0.0499193211650407,0,0.00251832531366641,0.0296535380851789,0,0,0.00953565824904534,0.111435348291751
"1-1-11-16_12",0.324748874370121,0.0686003299001463,0,0.40304217588228,0.379822002311428,0,0.18314564071367,0,0,0,0,0,0,0.306280440141904,0.173352529927234,0,0.287762192966813,0,0.29021730359443,0.260539917730924,0.316395308277459,0.231538112628353,0.175907593000557,0.0547467032639179,0.169477911646586,0.322444465155386,0.186116263467382,0.359803209606317,0.305445158776544,0,0.316950940780246,0.21687868303648,0,0.0485865911999108,0.000392054364871929,0,0.0556831189126576,0.165606528514282,0.188762213788091,0.249146583232644,0.321286980726163,0.0614456755964145,0,0,0,0,0.17303063168813,0.169962655177911,0.163922062711834,0.175997034340141,0.0511159174936529,0.0291392379081326,0.170268611840717,0.131989930624156,0.0779014882553981,0.175996060879687,0,0.237892774978887,0.208470893767982,0.266860916584146,0.232881279835201,0,0.384456742171656,0.277880505335149,0.20822428713422,0.384778822259635,0,0,0.228012027403755,0.18481720312828,0,0,0.183361315136747,0.542754044470516,0,0.103798713848965,0.221726702822976,0,0,0.330308309499415,0.253538243970346,0.32499870540513,0.0427010527703636,0,0.409743005946554,0.358701608649114,0,0.178396675132764,0,0,0,0,0,0,0.312161442262555,0.165866988481835,0,0.282486789903368,0,0.245469371484587,0.264083458098937,0.399269324445584,0.240962849106563,0.227205166094238,0.0953539031215391,0.24806235304363,0.329844778292413,0.2028339965076,0.321586141833437,0.253575744260134,0,0.329586168840839,0.251940614232333,0,0.044014584410453,0,0,0.0838924542069714,0.15788612437412,0.0986046793642613,0.265015378932207,0.341686161597985,0.0575714729831526,0,0,0,0,0.177335115569448,0.168399244881714,0.112741853001064,0.176961501940664,0.0490805123674704,0.0278831176922598,0.193206647791801,0.119142978693305,0.06534950101843,0.176179770340422,0,0.219250991903487,0.275300779949244,0.0854755020398463,0.343644937176189,0,0.305032179154897,0.26921118667491,0.197876895628903,0.357396832071336,0,0,0.237447411643574,0.157648566449295,0,0,0.18202580758648,0.514307555386033,0,0.0969376728102013,0.216215185883008,0,0,0.299393285016182,0.199649640128095
