"","Region","Brain.ID","Strain","Sex","Age.Harvested","Genotype","Stain","Load.Percentage_NL","Load.Percentage_RG","Load.Difference","Region_Parent"
"1","Ammon.s.horn","1-03-14-16_03","BXD51",0,14,5,"AB1.42",2.99681277579951,3.28691619228291,-0.2901034164834,"Hippocampal formation"
"2","Ammon.s.horn","1-03-28-16_10","BXD65",0,14,5,"AB1.42",2.34273358680613,2.22867608329025,0.11405750351588,"Hippocampal formation"
"3","Ammon.s.horn","1-03-28-16_18","BXD65",0,14,5,"AB1.42",2.43572042251387,2.23689787768334,0.19882254483053,"Hippocampal formation"
"4","Ammon.s.horn","1-04-26-15_06","BXD61",0,6,5,"AB1.42",0.591557095748341,0.54836501880069,0.0431920769476509,"Hippocampal formation"
"5","Ammon.s.horn","1-04-26-15_17","BXD66",0,6,0,"AB1.42",0.00230850916478138,0.00228938994073638,1.91192240449997e-05,"Hippocampal formation"
"6","Ammon.s.horn","1-06-24-15_06","BXD44",0,6,5,"AB1.42",0.655127383731648,0.484668362243877,0.170459021487771,"Hippocampal formation"
"7","Ammon.s.horn","1-06-24-15_08","BXD87",0,6,5,"AB1.42",0.596943983361146,0.520469086411458,0.0764748969496881,"Hippocampal formation"
"8","Ammon.s.horn","1-06-24-15_13","BXD75",0,6,5,"AB1.42",1.02107546729323,0.662653714080312,0.358421753212918,"Hippocampal formation"
"9","Ammon.s.horn","1-09-23-15_04","BXD68",0,6,0,"AB1.42",0.00276603983948458,0.00360800208803525,-0.00084196224855067,"Hippocampal formation"
"10","Ammon.s.horn","1-1-11-16_12","BXD68",0,14,5,"AB1.42",3.03614973725443,2.97588116590483,0.0602685713495998,"Hippocampal formation"
"11","Ammon.s.horn","1-1-18-16_16","BXD87",0,14,5,"AB1.42",2.51608500212216,2.78349704549535,-0.26741204337319,"Hippocampal formation"
"12","Ammon.s.horn","1-1-20-16_17","BXD75",0,14,5,"AB1.42",3.17483788419914,3.12810698028483,0.0467309039143098,"Hippocampal formation"
"13","Ammon.s.horn","1-10-14-15_07","DBA.2J",0,14,5,"AB1.42",2.38742289423667,2.50131791198753,-0.11389501775086,"Hippocampal formation"
"14","Ammon.s.horn","1-10-14-15_14","C57BL.6J",0,14,5,"AB1.42",2.52134681608135,2.55881789689527,-0.03747108081392,"Hippocampal formation"
"15","Ammon.s.horn","1-11-09-15_16","BXD77",0,14,5,"AB1.42",2.89315315644483,2.90516244938055,-0.0120092929357205,"Hippocampal formation"
"16","Ammon.s.horn","1-11-09-15_18","BXD69",0,14,5,"AB1.42",3.82257371650126,3.65313913940994,0.169434577091319,"Hippocampal formation"
"17","Ammon.s.horn","1-11-09-15_20","C57BL.6J",0,6,5,"AB1.42",1.32846725013471,1.21774871555348,0.11071853458123,"Hippocampal formation"
"18","Ammon.s.horn","1-11-15-15_05","BXD60",0,14,5,"AB1.42",3.34999012323954,2.91810216052067,0.43188796271887,"Hippocampal formation"
"19","Ammon.s.horn","1-11-15-15_13","DBA.2J",0,14,5,"AB1.42",4.50355331959825,3.96020762068785,0.543345698910399,"Hippocampal formation"
"20","Ammon.s.horn","1-11-16-15_09","BXD100",0,14,5,"AB1.42",2.01692019112647,2.44249665029031,-0.42557645916384,"Hippocampal formation"
"21","Ammon.s.horn","1-11-2014_01","DBA.2J",0,6,5,"AB1.42",0.420442959809991,0.436571762789046,-0.016128802979055,"Hippocampal formation"
"22","Ammon.s.horn","1-11-2015_02","DBA.2J",0,6,5,"AB1.42",0.398746167767974,0.443230710668681,-0.044484542900707,"Hippocampal formation"
