NA Number,FileName,Brain.ID,Notes,Harvest Date,Harvest ID,Harvest Date,Terminal Age.Days,Terminal Age.Months,Animal ID,Cage Card ID ,Strain,Gender,Ear ID,DOB,Harvest Age (m),Genotype,Date RNA made,RNA number
37,03-14-16-03,1-03-14-16_03,RNA made but not sent to TGEN for RNA-seq,3/14/2016,03-14-2016.03,3/14/2016,449,14.96666667,270,159534,51,Female,2,12/21/2014,14,5XFAD,3/22/2016,143
40,03-28-16-10,1-03-28-16_10,,3/28/2016,03-28-2016.10,3/28/2016,448,14.93333333,991,160126,65,female,3,1/5/2015,14,5XFAD,,no RNA made
39,03-28-16-18,1-03-28-16_18,,3/28/2016,03-28-2016.18,3/28/2016,424,14.13333333,1053,159174,65,Female,4,1/29/2015,14,5XFAD,3/30/2016,167
3,04-26-15-06,1-04-26-15_06,,4/26/2015,04-26-2015.06,4/26/2015,188,6.266666667,331,156539,61,Female,5,10/20/2014,6,5XFAD,3/17/2016,31
1,06-24-15-08,1-06-24-15_08,,6/24/2015,06-24-2015.08,6/24/2015,193,6.433333333,501,159177,87,Female,1,12/13/2014,6,5XFAD,3/10/2016,12
2,09-23-15-04,1-09-23-15_04,"WT Genotype (qPCR, RNA-seq)",9/23/2015,09-23-2015.04,9/23/2015,198,6.6,112,162136,68,Female,9,3/9/2015,6,WT,3/16/2016,18
18,09-23-15-08,1-09-23-15_08,Originally had 09-23-2015 on list but sent wrong brain - confirmed by checking empty tubes - mismatch with what is written on original Neuroscience Associates layout sheet so file name doesn’t match actual harvest ID,9/2/2015,09-02-2015.08,9/2/2015,211,7.033333333,1090,161807,44,11,2,2/3/2015,6,WT,,124
21,10-14-15-07,1-10-14-15_07,,10/14/2015,10-14-2015.07,10/14/2015,458,15.26666667,147,152113,2,Female,6,7/13/2014,14,5XFAD,3/10/2016,6
31,10-14-15-14,1-10-14-15_14,not included in behavior but is only aged 5XFAD B6 Female,10/14/2015,10-14-2015.14,10/14/2015,519,17.3,81,149064,6,Female,3,5/13/2014,14,5XFAD,3/21/2016,78
29,11-09-15-16,1-11-09-15_16,,11/9/2015,11-09-2015.16,11/9/2015,455,15.16666667,466,153573,77,Female,3,8/11/2014,14,5XFAD,3/21/2016,74
28,11-09-15-18,1-11-09-15_18,,11/9/2015,11-09-2015.18,11/9/2015,435,14.5,416,154043,69,Female,5,8/31/2014,14,5XFAD,3/21/2016,73
10,11-09-15-20,1-11-09-15_20,,11/9/2015,11-09-2015.20,11/9/2015,195,6.5,1214,165091,6,Female,3,4/28/2015,6,5XFAD,3/20/2016,66
