"","Brain.ID","Strain","Sex","Age.Harvested","Genotype","Harvest.ID","SampleID","Hippo_AB1.42","Hippo_NeuN","Hippo_GFAP","Hippo_Iba1","Hippo_Thionine"
"S6","1-10-14-15_07","D2","11","14",5,"10-14-2015.07","S6",0.0238214088913471,0.166549514149483,0.302843277819603,0.11888271423331,0.245257394344915
"S74","1-11-09-15_16","77","11","14",5,"11-09-2015.16","S74",0.0342495010551034,0.173223252302121,0.419453923827185,0.185713749623592,0.249583109755256
"S157","1-11-15-15_13","D2","11","14",5,"11-16-2015.13","S157",0.0596607767261877,0.18518574582486,0.45039620861058,0.189288844796913,0.252467813027936
"S31","1-04-26-15_06","61","11","6",5,"04-26-2015.06","S31",0.00822945500616877,0.232778761758832,0.212417659774997,0.11269209507131,0.259553860495174
"S12","1-06-24-15_08","87","11","6",5,"06-24-2015.08","S12",0.00784457133002276,0.219349074024309,0.160384357864568,0.0846284038347182,0.269550071061678
"S139","1-11-23-15_17","D2","11","14",5,"11-23-2015.17","S139",0.0195546197755181,0.198828831302006,0.330307458279459,0.144400365448946,0.259406517460424
"S58","1-5-12-15_05","77","11","6",5,"05-12-2015.05","S58",0.0157227170704525,0.203517538451391,0.2442132224533,0.121235529879216,0.244022239363429
"S167","1-03-28-16_18","65","11","14",5,"03-28-2016.18","S167",0.024267768000729,0.227392449966757,0.363466754443804,0.153900896007316,0.229376413650647
"S134","1-11-2015_02","D2","11","6",5,"11-00-2014.02","S134",0.00467165351175449,0.206309805428742,0.0991929435595058,0.0688242040241988,0.258276646476206
"S94","1-12-02-15_14","62","11","14",5,"12-02-2015.14","S94",0.0178368761283985,0.206940481576202,0.382854348164496,0.174848373925888,0.25246497847309
"S98","1-5-12-15_36","32","22","6",5,"05-12-2015.36","S98",0.0091881796905329,0.210997219757667,0.14487681286398,0.077292054379846,0.243419433972103
"S28","1-12-18-15_08","32","22","14",5,"12-18-2015.08","S28",0.0199964749270875,0.213254822973382,0.323764930537217,0.132461665587867,0.23553470677788
"S69","1-12-14-15_19","32","11","14",5,"12-14-2015.19","S69",0.0301705741530702,0.177642656356003,0.382782893423587,0.148161563065354,0.237665528462435
"S67","1-12-07-15_08","61","11","14",5,"12-07-2015.08","S67",0.0332559135582026,0.186648423771817,0.358225699051693,0.155408498568225,0.23698906458523
"S92","1-11-16-15_09","100","11","14",5,"11-16-2015.09","S92",0.0256854760425696,0.195314996250955,0.346860703861197,0.116689986155695,0.246634614726124
"S78","1-10-14-15_14","B6","11","14",5,"10-14-2015.14","S78",0.0330967411212145,0.178199046140721,0.377674850856801,0.181609192311519,0.266198801988905
"S87","1-5-22-15_10","62","11","6",5,"05-22-2015.10","S87",0.00813131473375169,0.182517646020882,0.183693844114583,0.0961341236723177,0.250492533087999
"S143","1-03-14-16_03","51","11","14",5,"03-14-2016.03","S143",0.0267939077273962,0.206530245823687,0.386153791928886,0.165847116795791,0.236354127359271
"S59","1-06-24-15_13","75","11","6",5,"06-24-2015.13","S59",0.00909263957527458,0.220187074178722,0.210345754342377,0.108452285931179,0.266644164085393
"S76","1-1-11-16_12","68","11","14",5,"01-11-2016.12","S76",0.0303159043287421,0.193713581349712,0.329586168840839,0.148345608486366,0.257653662221833
"S104","1-1-18-16_16","87","11","14",5,"01-18-2016.14","S104",0.0214287779324855,0.209246096206676,0.341012713519126,0.131774297403675,0.251382432002128
"S306","1-6-4-15_04","32","11","6",5,"06-04-2015.04","S306",0.00780078329098767,0.185546814950846,0.113380160900893,0.0808695756372165,0.256178479158015
"S142","1-12-09-15_12","44","11","14",5,"12-09-2015.12","S142",0.0163827842775942,0.212068153093189,0.369572879263374,0.190307747433361,0.248666327764243
"S54","1-1-20-16_17","75","11","14",5,"01-20-2016.17","S54",0.0399874083130151,0.200699014222095,0.379647729765217,0.124933793655073,0.250732080040193
"S102","1-11-2014_01","D2","11","6",5,"11-00-2014.01","S102",0.00447882830098567,0.188168922060135,0.0838742903675595,0.056365146000462,0.257298515721633
"S42","1-12-14-15_04","66","11","14",5,"12-14-2015.04","S42",0.0285753783147042,0.20095862184103,0.396882572656893,0.145421076119678,0.23407396193774
"S66","1-11-09-15_20","B6","11","6",5,"11-09-2015.20","S66",0.0120497143810211,0.220119066739968,0.247516949291997,0.12113889722949,0.257788230887471
"S138","1-11-23-15_03","65","11","6",5,"11-23-2015.03","S138",0.00945425719307792,0.199668401150302,0.309560280962794,0.111938709376196,0.237399288095281
"S113","1-9-02-15_04","51","11","6",5,"09-02-2015.04","S113",0.0101700566445673,0.187822633778455,0.145197827365442,0.0846823202011308,0.254852022004384
"S169","1-9-23-15_06","D2","11","6",5,"09-23-2015.06","S169",0.0137069602223859,0.216681501964668,0.217978827227633,0.11242906710553,0.262833418457565
"S99","1-5-12-15_41","69","11","6",5,"05-12-2015.41","S99",0.0116186093346078,0.206703116926096,0.203014148072525,0.0880751928643821,0.255304882589367
"S39","1-11-15-15_05","60","11","14",5,"11-16-2015.05","S39",0.0340104004959005,0.233288269084017,0.355746338195372,0.149195718467843,0.250579551327793
"S112","1-06-24-15_06","44","11","6",5,"06-24-2015.06","S112",0.00639693603246819,0.21433027814319,0.190352325484647,0.110455054162926,0.260594766296974
"S73","1-11-09-15_18","69","11","14",5,"11-09-2015.18","S73",0.0341836030076923,0.197347101774436,0.352294406693342,0.14094291976659,0.235003265785232
