,pval,Region,Stain,test,comparison,test.stat,effect_size,FDR_adjusted_pval,Region_Stain,Age.Harvested
V,0.010549188,Ammon.s.horn,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,174,0.404342715,0.023778907,Ammon.s.horn_NeuN,14
V1,0.000111577,Anterior.group.of.the.dorsal.thalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,209,0.610941183,0.0010654,Anterior.group.of.the.dorsal.thalamus_NeuN,14
V2,0.000151093,Basolateral.amygdalar.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,207,0.599135556,0.0010654,Basolateral.amygdalar.nucleus_NeuN,14
V3,0.161520771,Basomedial.amygdalar.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,143,0.221355501,0.244056111,Basomedial.amygdalar.nucleus_NeuN,14
V4,0.000111577,Caudoputamen,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,209,0.610941183,0.0010654,Caudoputamen_NeuN,14
V5,0.021678215,Claustrum,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,167,0.363023022,0.042888555,Claustrum_NeuN,14
V6,0.614267673,Cortex,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,91,0.07968798,0.718823873,Cortex_NeuN,14
V7,0.008489555,Cortical.subplate,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,176,0.416148342,0.019784981,Cortical.subplate_NeuN,14
V8,0.000111577,Dentate.gyrus..granule.cell.layer,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,209,0.610941183,0.0010654,Dentate.gyrus..granule.cell.layer_NeuN,14
V9,9.57E-05,Dentate.gyrus..molecular.layer,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,0,0.616843996,0.0010654,Dentate.gyrus..molecular.layer_NeuN,14
V10,0.000151093,Dentate.gyrus..polymorph.layer,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,3,0.599135556,0.0010654,Dentate.gyrus..polymorph.layer_NeuN,14
V11,0.466621509,Endopiriform.nucleus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,125,0.115104861,0.59407831,Endopiriform.nucleus_NeuN,14
V12,0.019632833,Entorhinal.area,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,168,0.368925835,0.039992807,Entorhinal.area_NeuN,14
V13,0.000129926,Epithalamus,NeuN,Wilcoxon signed rank test with continuity correction,Load.Percentage by Registration,208,0.60503837,0.0010654,Epithalamus_NeuN,14
