"","Sum Sq","Df","F value","Pr(>F)","PctExp","constrasts","Region","Stain","FDR_adjusted_pval","group1","group2"
"Age.Harvested",4.49747129008732,1,5.63053325869315,0.0277881842888844,10.9605412369329,"Age.Harvested","Ammon.s.horn","NeuN",0.0471713004903902,6,14
"Age.Harvested1",11.2528206722755,1,1.72311523253914,0.204157062684106,4.4848049195776,"Age.Harvested","Anterior.group.of.the.dorsal.thalamus","NeuN",0.272539768146259,6,14
"Age.Harvested2",2.75116121807241,1,0.138425980485368,0.713763838508145,0.429792195179575,"Age.Harvested","Basolateral.amygdalar.nucleus","NeuN",0.760794789107519,6,14
"Age.Harvested3",50.4813750361375,1,2.03098038053941,0.169540983655388,5.62721242089517,"Age.Harvested","Basomedial.amygdalar.nucleus","NeuN",0.229673746331191,6,14
"Age.Harvested4",19.0656493790763,1,4.1894688603555,0.0540442869165655,10.626548761441,"Age.Harvested","Caudoputamen","NeuN",0.0864683785473926,6,14
"Age.Harvested5",212.016548896964,1,3.7619438250014,0.0666674865916086,12.3424786227758,"Age.Harvested","Claustrum","NeuN",0.103579428320296,6,14
"Age.Harvested6",3.46719097688811,1,0.248054507934247,0.623880686758482,0.837426715939277,"Age.Harvested","Cortex","NeuN",0.690411760643733,6,14
"Age.Harvested7",31.4380913251943,1,2.588077162261,0.12334303416806,8.2808729414486,"Age.Harvested","Cortical.subplate","NeuN",0.178522812611665,6,14
"Age.Harvested8",44.4767054064446,1,0.473074336877805,0.499476158787222,1.52943819703505,"Age.Harvested","Dentate.gyrus..granule.cell.layer","NeuN",0.582016710451212,6,14
"Age.Harvested9",19.4722581757288,1,5.30699631788657,0.0321007724042141,17.5202244677524,"Age.Harvested","Dentate.gyrus..molecular.layer","NeuN",0.0541577448537354,6,14
"Age.Harvested10",885.515088041908,1,13.6794107775658,0.00142195028812679,23.7925484824711,"Age.Harvested","Dentate.gyrus..polymorph.layer","NeuN",0.00298501014683106,6,14
